Ticker,TradeDate,Open,High,Low,Close,Volume,Change,ChangePercent
AL,9/17/2013 12:00:00 AM,,,,,656397,0.5041,1.9120
ALB,9/17/2013 12:00:00 AM,,,,,640965,-0.1568,-0.2680
ALBO,9/17/2013 12:00:00 AM,,,,,16061,3.0000,3.0490
ALCO,9/17/2013 12:00:00 AM,,,,,2683,0.3945,0.9630
ALE,9/17/2013 12:00:00 AM,,,,,140512,0.3602,0.9220
ALEX,9/17/2013 12:00:00 AM,,,,,101124,0.5091,2.3780
ALG,9/17/2013 12:00:00 AM,,,,,18538,0.0681,0.1500
ALGN,9/17/2013 12:00:00 AM,,,,,537250,1.7100,3.6970
ALGT,9/17/2013 12:00:00 AM,,,,,50140,1.2074,1.3610
ALK,9/17/2013 12:00:00 AM,,,,,707656,0.3568,1.2500
ALKS,9/17/2013 12:00:00 AM,,,,,404540,-0.6000,-1.6970
ALL,9/17/2013 12:00:00 AM,,,,,2518553,0.6198,1.3460
ALNY,9/17/2013 12:00:00 AM,,,,,315383,-0.0100,-0.0180
ALSN,9/17/2013 12:00:00 AM,,,,,295595,0.0822,0.3650
ALTR,9/17/2013 12:00:00 AM,,,,,2914515,0.3168,0.8720
ALX,9/17/2013 12:00:00 AM,,,,,27262,-0.1977,-0.0870
ALXN,9/17/2013 12:00:00 AM,,,,,418470,0.5000,0.4400
AMAG,9/17/2013 12:00:00 AM,,,,,40362,0.3800,1.5160
AMAT,9/17/2013 12:00:00 AM,,,,,10549008,-0.0415,-0.2820
AMBA,9/17/2013 12:00:00 AM,,,,,755796,0.1900,1.0670
AMBC,9/17/2013 12:00:00 AM,,,,,343799,0.0300,0.1500
AMCX,9/17/2013 12:00:00 AM,,,,,519897,2.7600,4.3990
AMD,9/17/2013 12:00:00 AM,,,,,25590718,0.0300,0.7850
AME,9/17/2013 12:00:00 AM,,,,,1703726,0.1451,0.3310
AMED,9/17/2013 12:00:00 AM,,,,,305368,0.2200,1.3010
AMG,9/17/2013 12:00:00 AM,,,,,251957,1.0494,0.5720
AMGN,9/17/2013 12:00:00 AM,,,,,3146011,-1.2875,-1.2370
AMH,9/17/2013 12:00:00 AM,,,,,531265,0.0189,0.1260
AMKR,9/17/2013 12:00:00 AM,,,,,788023,0.0300,0.7060
AMN,9/17/2013 12:00:00 AM,,,,,153989,0.2600,1.8620
AMNB,9/17/2013 12:00:00 AM,,,,,30188,0.9961,5.4050
AMOT,9/17/2013 12:00:00 AM,,,,,1191,-0.0098,-0.1230
AMP,9/17/2013 12:00:00 AM,,,,,1610178,0.6826,0.8320
AMPE,9/17/2013 12:00:00 AM,,,,,369519,-0.3300,-4.2360
AMRC,9/17/2013 12:00:00 AM,,,,,46546,0.2600,2.9680
AMRS,9/17/2013 12:00:00 AM,,,,,3202,-0.6000,-1.5040
AMRX,9/17/2013 12:00:00 AM,,,,,352700,0.3000,1.4570
AMSF,9/17/2013 12:00:00 AM,,,,,38392,0.5205,1.8990
AMSWA,9/17/2013 12:00:00 AM,,,,,24651,0.0489,0.7380
AMT,9/17/2013 12:00:00 AM,,,,,2935105,-0.3189,-0.4710
AMTD,9/17/2013 12:00:00 AM,,,,,2104048,0.3961,1.5940
AMWD,9/17/2013 12:00:00 AM,,,,,57248,0.6300,1.7380
AMZN,9/17/2013 12:00:00 AM,,,,,2297156,8.1100,2.7390
AN,9/17/2013 12:00:00 AM,,,,,965558,0.4400,0.8430
ANAT,9/17/2013 12:00:00 AM,,,,,49862,2.5029,2.8810
ANCX,9/17/2013 12:00:00 AM,,,,,26325,-0.0572,-0.5050
ANDE,9/17/2013 12:00:00 AM,,,,,116828,0.4084,0.9670
ANDV,9/17/2013 12:00:00 AM,,,,,2287303,0.0809,0.1980
ANF,9/17/2013 12:00:00 AM,,,,,2960866,0.9021,2.9190
ANGO,9/17/2013 12:00:00 AM,,,,,46926,0.0800,0.7070
ANH,9/17/2013 12:00:00 AM,,,,,722445,0.0285,1.0770
ANIK,9/17/2013 12:00:00 AM,,,,,154639,0.2600,1.0840
ANIP,9/17/2013 12:00:00 AM,,,,,83626,0.2300,2.9220
ANSS,9/17/2013 12:00:00 AM,,,,,225099,-0.1900,-0.2160
ANTM,9/17/2013 12:00:00 AM,,,,,1536419,-0.7660,-0.9320
AOBC,9/17/2013 12:00:00 AM,,,,,3087405,0.3500,3.1670
AON,9/17/2013 12:00:00 AM,,,,,1502556,0.8500,1.3020
AOS,9/17/2013 12:00:00 AM,,,,,577852,0.1464,0.6970
AOSL,9/17/2013 12:00:00 AM,,,,,54696,-0.0100,-0.1190
APA,9/17/2013 12:00:00 AM,,,,,3331210,1.1436,1.4370
APAM,9/17/2013 12:00:00 AM,,,,,52013,-0.0132,-0.0390
APC,9/17/2013 12:00:00 AM,,,,,2294695,0.2957,0.3320
APD,9/17/2013 12:00:00 AM,,,,,2141181,-1.2809,-1.3430
APEI,9/17/2013 12:00:00 AM,,,,,179241,-0.2600,-0.6600
APH,9/17/2013 12:00:00 AM,,,,,742674,0.0191,0.0510
APOG,9/17/2013 12:00:00 AM,,,,,201053,0.3024,1.1020
APTS,9/17/2013 12:00:00 AM,,,,,20010,0.0072,0.1210
ARAY,9/17/2013 12:00:00 AM,,,,,472443,-0.1000,-1.4430
ARE,9/17/2013 12:00:00 AM,,,,,271569,0.3975,0.7400
AREX,9/17/2013 12:00:00 AM,,,,,280022,0.5600,2.4090
ARGO,9/17/2013 12:00:00 AM,,,,,66892,0.3194,1.1340
ARI,9/17/2013 12:00:00 AM,,,,,150849,0.0299,0.3220
ARII,9/17/2013 12:00:00 AM,,,,,181493,0.2420,0.8030
ARL,9/17/2013 12:00:00 AM,,,,,18691,-0.0400,-0.9550
ARNA,9/17/2013 12:00:00 AM,,,,,467239,-0.9000,-1.5150
ARNC,9/17/2013 12:00:00 AM,,,,,7400081,0.3412,1.9750
AROW,9/17/2013 12:00:00 AM,,,,,21339,0.1017,0.5170
ARQL,9/17/2013 12:00:00 AM,,,,,245492,0.0200,0.9170
ARR,9/17/2013 12:00:00 AM,,,,,4290729,0.2234,1.4890
ARRS,9/17/2013 12:00:00 AM,,,,,1647340,0.0800,0.4870
ARRY,9/17/2013 12:00:00 AM,,,,,1721808,0.1300,2.1310
ARTNA,9/17/2013 12:00:00 AM,,,,,7793,0.0509,0.2750
ARW,9/17/2013 12:00:00 AM,,,,,415153,0.4100,0.8500
ARWR,9/17/2013 12:00:00 AM,,,,,239033,-0.1600,-3.4410
ASB,9/17/2013 12:00:00 AM,,,,,1261509,0.1795,1.2800
ASC,9/17/2013 12:00:00 AM,,,,,43329,-0.1660,-1.4090
ASGN,9/17/2013 12:00:00 AM,,,,,183516,0.7300,2.2630
ASH,9/17/2013 12:00:00 AM,,,,,281002,0.1465,0.3490
ASMB,9/17/2013 12:00:00 AM,,,,,78085,0.2500,1.6670
ASNA,9/17/2013 12:00:00 AM,,,,,1804497,-0.0500,-0.2960
ASPS,9/17/2013 12:00:00 AM,,,,,66398,1.6300,1.2120
ASRT,9/17/2013 12:00:00 AM,,,,,313508,-0.0300,-0.3920
ASTE,9/17/2013 12:00:00 AM,,,,,90393,-0.1531,-0.4540
ASUR,9/17/2013 12:00:00 AM,,,,,10179,0.1390,3.0210
AT,9/17/2013 12:00:00 AM,,,,,520454,0.0171,0.4960
ATGE,9/17/2013 12:00:00 AM,,,,,337501,-0.0767,-0.2520
ATHN,9/17/2013 12:00:00 AM,,,,,227398,1.5100,1.3230
ATHX,9/17/2013 12:00:00 AM,,,,,321126,0.0000,0.0000
ATI,9/17/2013 12:00:00 AM,,,,,1530665,-0.0560,-0.1940
ATLO,9/17/2013 12:00:00 AM,,,,,8339,-0.0515,-0.2730
ATNI,9/17/2013 12:00:00 AM,,,,,29002,0.8908,1.9600
ATO,9/17/2013 12:00:00 AM,,,,,425414,0.4042,1.1370
ATR,9/17/2013 12:00:00 AM,,,,,208207,-0.7472,-1.3430
ATRC,9/17/2013 12:00:00 AM,,,,,95275,0.2800,2.6900
ATRI,9/17/2013 12:00:00 AM,,,,,4131,3.2483,1.3880
ATRO,9/17/2013 12:00:00 AM,,,,,41931,0.2985,0.9270
ATRS,9/17/2013 12:00:00 AM,,,,,1800496,-0.1300,-2.9820
ATSG,9/17/2013 12:00:00 AM,,,,,41021,0.1300,1.9090
ATU,9/17/2013 12:00:00 AM,,,,,342339,0.2980,0.7780
ATVI,9/17/2013 12:00:00 AM,,,,,4227711,-0.0874,-0.5220
AUBN,9/17/2013 12:00:00 AM,,,,,1857,-0.2832,-1.3920
AVA,9/17/2013 12:00:00 AM,,,,,298614,0.1003,0.4640
AVAV,9/17/2013 12:00:00 AM,,,,,126208,-0.0200,-0.0870
AVB,9/17/2013 12:00:00 AM,,,,,401480,-0.6917,-0.6230
AVD,9/17/2013 12:00:00 AM,,,,,335256,0.3315,1.3020
AVEO,9/17/2013 12:00:00 AM,,,,,318877,0.0100,0.4780
AVGO,9/17/2013 12:00:00 AM,,,,,3724705,0.9869,2.7400
